Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta,IsAutoShifting,LastManualShiftTime,SteerDirection,IsStopped
121,1746968337.7046742,0.968719,0.294636,-0.0867467,0.36567,-0.133196,1047.2,1,1.464,2952.76,0.124512,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
122,1746968337.7251399,1.06858,0.295028,-0.0921563,0.365829,-0.133668,1047.2,1,1.484,2952.76,0.129883,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
123,1746968337.7446344,1.01619,0.293812,-0.102206,0.365989,-0.134136,1047.2,1,1.504,2952.77,0.135254,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
124,1746968337.7680542,1.11557,0.292431,-0.107321,0.366149,-0.134598,1047.2,1,1.524,2952.77,0.141113,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
125,1746968337.7855809,1.0633,0.292385,-0.11085,0.366311,-0.135061,1047.2,1,1.544,2952.78,0.146973,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
126,1746968337.806735,1.16403,0.290673,-0.118948,0.366473,-0.135519,1047.2,1,1.564,2952.78,0.152832,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
127,1746968337.829705,1.10844,0.289533,-0.125652,0.366637,-0.135975,1047.2,1,1.584,2952.79,0.158691,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
128,1746968337.8453896,1.2099,0.288021,-0.124785,0.366801,-0.136425,1047.2,1,1.604,2952.8,0.165039,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
129,1746968337.872192,1.15649,0.287885,-0.1285,0.366967,-0.136878,1047.2,1,1.624,2952.8,0.171387,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
130,1746968337.888622,1.25733,0.286308,-0.129036,0.367133,-0.137324,1047.2,1,1.644,2952.81,0.177734,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
131,1746968337.9063482,1.20278,0.286094,-0.132216,0.3673,-0.137771,1047.2,1,1.664,2952.82,0.184082,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
132,1746968337.9251711,1.30609,0.285331,-0.129241,0.367469,-0.138217,1047.2,1,1.684,2952.82,0.190918,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
133,1746968337.9472935,1.25132,0.284995,-0.137728,0.36764,-0.138664,1047.2,1,1.704,2952.83,0.197754,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
